"View","Name of Firm","Trade Name","unknown","unknown","Address, line 1","Address, line 2","City","State","Zip","Capabilities Narrative"
"2305","TEST DEVICES, INC.","","David Woodford","","571 MAIN ST","","HUDSON","MA","01749-2341",""
"2306","Sisson Engineering Corp ","","Cody  Sisson","","330 Old Wendell Rd ","","Northfield","MA","01360-9675",""
"2307","120 Main Street Operator LLC","","Fran Petricone","","120 Main St","","Malden","MA","02148-6904",""
"2308","Shaw Welding Company Inc","","Richard Shaw","","7 Innis Dr","","Billerica","MA","01821-2604",""
"2309","Merrimac Industrial Sales, Inc.","","PHILIP  G ABERIZK Jr","","111 Neck Rd","","Haverhill","MA","01835-8027",""
"2310","SOUTH SHORE GENERATOR SERVICE, INC.","","Bernadette Braman","","2696 CRANBERRY HWY","","WAREHAM","MA","02571-1040","generator sales, service, installation, rentals, maintenance, emergency service 24/7"
"2311","De Veaux Logan Enterprises LLC","","Richard D De Veaux","","28 Southworth St","","Williamstown","MA","01267-2414",""
"2312","PASSPORT SYSTEMS, INC","","Gabriella A Wicks","President","70 TREBLE COVE RD","","NORTH BILLERICA","MA","01862-2208","Design, manufacture and sell devices for scanning cargo containers, trucks and luggage for nuclear, biological, chemical threats as well as contraban."
"2313","Americanbio, Inc.","","VINCENT COONEY","","20 Dan Rd","","Canton","MA","02021-2809",""
"2314","Digipress, Inc.","Spire","Skip Dyer","","65 Bay St","","Dorchester","MA","02125-1554",""
"2315","APHIOS CORPORATION","","TREVOR P. CASTOR","President & CEO","3 E GILL ST","","WOBURN","MA","01801-1720",""
"2316","M Dialysis Inc.","CMA Microdialysis","Kelly Nashawaty","","73 Princeton St Ste 302","","North Chelmsford","MA","01863-1559","M Dialysis AB is a Swedish medical device and research company that is an offshoot from CMA Microdialysis AB that was founded in 1984. M Dialysis's unique and market leading solutions are developed, produced and sold to clinicians and researchers to enable optimized patient care and accelerated drug development. The complete line of microdialysis instruments, consumables and computer software are used globally by universities, hospitals and pharmaceutical companies as unique tools for in vivo sampling and monitoring of organs and tissues. For more information please visit our website http://www.mdialysis.com."
"2317","DUCT & VENT CLEANING OF AMERICA, INC.","","James Choquette","","311 PAGE BLVD STE 1","","SPRINGFIELD","MA","01104-3053",""
"2318","Over, Under Inc.","","Chris Grimley","","46 Waltham St Ste 1crtyd","","Boston","MA","02118-2106",""
"2319","TEMPTRONIC CORPORATION","","BARRY  JOHNSON","","41 HAMPDEN RD","","MANSFIELD","MA","02048-1807",""
"2320","Macom Technology Solutions Inc.","M/A-COM","Cheryl Boucher","","100 Chelmsford St","","Lowell","MA","01851-2620",""
"2321","Puretech Health LLC","Bio Pharmaceutical","Stephen Muniz","","6 Tide St Ste 400","","Boston","MA","02210-2412",""
"2322","Nantero, Inc.","","Phillip P Lohnes","","25-B Olympia Ave","","Woburn","MA","01801-6307",""
"2323","Synqor, Inc.","","John Cancellara","","155 Swanson Rd","","Boxborough","MA","01719-1316",""
"2324","ESAI Power LLC","","Tommy Sutro","","401 Edgewater Pl Ste 640","","Wakefield","MA","01880-6200",""
"2325","Sobi, Inc","","Jeff Henderson","","890 WINTER ST STE 200","","WALTHAM","MA","02451-1493",""
"2326","ACADEMICA GROUP LTD.","","Rod Skinkle","","100 CUMMINGS CENTER STE 207P","","BEVERLY","MA","01915-6104",""
"2327","KGCI INC","","GAUTAM CHITNIS","","999 BROADWAY STE 302","","SAUGUS","MA","01906-4510","We design, build, engineer, construct, renovate, or rehabilitate public facilities. We are LEED Certified. We also specialize in program, project management, information technology and facilities systems integration."
"2328","PALMER WOLF CORPORATION THE","","Jane Culbert","","8 FRANCIS AVE","","CAMBRIDGE","MA","02138-2010","Palmer Wolf is a consulting firm specializing in education and youth development that offers an integrated suite of planning, research, and evaluation services to help organizations chart their futures, monitor their performance, and assess their effectiveness. We assist organizations that work on behalf of children “at-risk,” from direct service providers to the organizations that support, oversee, and analyze their work. Our clients include non-profits, foundations, government agencies, and research firms working in the areas of education and youth development."
"2329","SOUTH 128 ASSOC LLC","","Justin M Young","","100 GRANDVIEW RD STE 207","","BRAINTREE","MA","02184-2692",""
"2330","BARABY CORP","","WILLIAM G Baraby","","660 JEFFERSON STREET","","FALL RIVER","MA","02721-4927",""
"2331","Power Equipment Co Inc ","Superior Power Systems ","Paul Tohr","","7 Franklin R McKay Rd ","","Attleboro","MA","02703-4625",""
"2332","SMG Holdings, LLC","","ANNE  KRUSE","","50 Foster St","","Worcester","MA","01608-1305",""
"2333","Huhtala Oil & Templeton Garage Inc","Huhtala Oil & Propane","Paul Huhtala","","198 Patriots Road","","EAST TEMPLETON","MA","01438-0000",""
"2334","SETRONICS CORP.","","Gregory Riedel","","5 EXECUTIVE PARK DR","","BILLERICA","MA","01862-1318",""
"2335","POWERPRODUCTS SYSTEMS, LLC","","Chris Lang","","107 AUDUBON RD STE 10","","WAKEFIELD","MA","01880-1047",""
"2336","Spectra Analysis Instruments, Inc.","","Tricia  Tomczykp","","257 Simarano Dr Ste 106","","Marlborough","MA","01752-3070",""
"2337","Cerulli Associates, Inc.","","Jared Baucom","","699 Boylston St Ste 11","","Boston","MA","02116-2848",""
"2338","ACTON FORD, INC.","","Carmela Payne","","76 POWDERMILL RD","","ACTON","MA","01720-5930",""
"2339","D.P. Carney Construction Inc.","","Joann M Carney","","34 Horseshoe Cir","","Ware","MA","01082-9328","We specialize in commercial, historical, and residential projects. Our well trained experienced staff will help to find your roofing and waterproofing solution. Leaks, repairs, tear-offs, new construction, and maintenance no is job too small."
"2340","Cambridge Sound Management, Inc.","","Meghann Ellis","President","404 Wyman St Ste 200","","Waltham","MA","02451-1242",""
"2341","Sage Science, Inc.","","Sadaf Hoda","","500 Cummings Ctr Ste 2400","","Beverly","MA","01915-6538",""
"2342","GENERAL COMPUTER RESOURCES, INC. ","","MICHAEL  A Turner","","281 CAMBRIDGE ST # 200 ","","BURLINGTON","MA","01803-2529",""
"2343","NEW ENGLAND POWER GROUP, INC.","","Lou  DeRenzis","","1 WALNUT HILL PARK STE 1","","WOBURN","MA","01801-3706",""
"2344","Intirion Corporation","MicroFridge","Breland Holley","","2 Annette Rd Ste 3","","Foxboro","MA","02035-1367","MicroFridge with Safe Plug combination refrigerator/freezer/microwave oven. Ideal for barracks/dorms, lodging/billeting, govt. offices, breakrooms, lounge/conf. areas. Also offer Maytag Commercial laundry and Maytag/Magic Chef Residential appliances."
"2345","Q-PEAK INCORPORATED","","B. DAVID GREEN","Contract Manager","135 SOUTH RD STE 2","","BEDFORD","MA","01730-2307",""
"2346","TEBI Business Trust ","","Jeffrey Bursell","","111 Downey St ","","Norwood","MA","02062-2612",""
"2347","StreetScan Inc.","","Ralf Birken","","151 S Bedford St Ste 2","","Burlington","MA","01803-5228",""
"2348","Patriot Armored Systems, LLC","Patriot Armor","THOMAS     HERMAN","","140 Crystal St","","Lenox Dale","MA","01242-0000",""
"2349","Viken Detection Corporation","","Cathy Gilmer","","21 North Ave","","Burlington","MA","01803-3305",""
"2350","ActivMed Practices & Research, Inc. ","","Gary L Noseworthy","","421 Merrimack St Ste 203 ","","Methuen","MA","01844-5864",""
"2351","CHUCKS AUTO SERVICE INC","","CHARLES M SWIDER","","58 WEST ST","","CHICOPEE","MA","01013-1627",""
"2352","MINI-SYSTEMS  INC","THIN FILM DIVISION","Felix Santilli","","45 FRANK MOSSBERG DR","","ATTLEBORO","MA","02703-4623",""
"2353","Knowlogic Software ","","Jeffrey R Vahue","","90 Annawon Ave ","","Wrentham","MA","02093-1443",""
"2354","DYNAMIC AEROSPACE INC","","Stephen Darr","","24 MILLER AVE","","FRAMINGHAM","MA","01702-7205","Aviation subject matter expertise in developing and implementing advanced analytical methods and aviation technology supporting system safety and capacity enhancements. Has planned, conducted, and directed research for the FAA, NASA, airports, and commercial clients in safety and systems analysis, operations research, concept of operations development, investment decision-making, and strategic planning. Experience in the development and implementation of advanced aviation technologies, and in aircraft design, construction, and operation. Has extensive flight operations experience, including with human-powered aircraft, as an aircraft owner-operator, and as a pilot in NASA and commercial technology trials."
"2355","AMERICAN SPOT COOLING, INC","","Lee Morse","","210 MAIN ST","","CHERRY VALLEY","MA","01611-3141",""
"2356","Cross-spectrum Acoustics, Inc.","","Herbert Singleton","","25A Granby Street","","East Longmeadow","MA","01028-0000","Acoustics, noise and vibration control for transit, transportation, construction, industrial and other markets"
"2357","GRAVITY HOLDINGS, LLC","","Jake O'Rielly","","1195 PATRIOTS ROAD","","TEMPLETON","MA","01468-1328",""
"2358","MCF ELECTRONIC SERVICES, INC.","","Lucinda DeRuosi","","39 1ST ST","","LOWELL","MA","01850-2501","MCF Is a contract manufacturer that assembles printed circuit boards. We are very service oriented and we do quick turn prototypes, rework as well as production."
"2359","DHK Architects, Inc.","","Fernando J Domenech Jr","","54 Canal St Ste 200","","Boston","MA","02114-2011",""
"2360","Crosscheck Networks, Inc. ","","Jason Macy","","99 NEEDHAM ST APT 1307 ","","NEWTON","MA","02461-1644","Functional, performance, security, and compliance testing of API communications including HTTP, JMS, and IoT protocols."
"2361","CARPET BARN INCORPORATED","CARPET ONE FLOOR & HOME","John Alferes","","719 MAIN ST","","FALMOUTH","MA","02540-3298","All Flooring needs"
"2362","AMERICAN AUTOMOTIVE AFTERMARKET INC","AAA WORK TRUCK","Jim Burns","","50 DUNHAM RD","","BILLERICA","MA","01821-5727",""
"2363","SAAM ARCHITECTURE LLC ","","Diana K Nicklaus","","655 Summer St ","","Boston","MA","02210-2123","Saam Architecture, LLC is a team of architects with a history of award-winning design projects. We practice across all sectors, and drive innovation in design and delivery."
"2364","HOST HOTELS & RESORTS, L.P.","HYATT REGENCY CAMBRIDGE","Joseph Lavallee","","575 MEMORIAL DR","","CAMBRIDGE","MA","02139-4814",""
"2365","A.W. Airflo Industries, Inc.","Precision Metal Fabrication","Laura Perrault","","52 Parker St","","Newburyport","MA","01950-4056",""
"2366","Strahl, LLC","","Michael  Shaughnessy","","76 Winn St Ste 2B","","Woburn","MA","01801-2868","Sales and Rental of Videoscopes, Fiberscopes, borescopes, push and pipe camera units, for inspections of equipment or areas. We resell this equipment."
"2367","NEVRON PLASTICS, INC.","NEVRON PLASTICS AND METALS","Thomas A Jarosz","","124 BALLARD ST","","SAUGUS","MA","01906-1740",""
"2368","SENCORPWHITE, INC","SencorpWhite","Justin Edwards","","400 Kidds Hill Rd","","Hyannis","MA","02601-1850",""
"2369","Haluch Water Contracting Inc","","Thomas Haluch","","399 Fuller St","","LUDLOW","MA","01056-1328",""
"2370","New England Etching Co, Inc.","","Walter E Foerster","PRESIDENT","23 Spring St","","Holyoke","MA","01040-5708","This company provides a number of services that can change any piece of stainless steel, brass, or aluminum into something special. With a state of the art, graphics department and highly skilled employees, we can print and process any project. Our technically advanced Electro-optic shear and blanking presses provide speed, accuracy, and adherence to your machining requirements. We continue to look toward technology to aid our skilled work force in bringing to you, our customer, the best very possible product at a very competitive price."
"2371","CC VENTURES INC","","THOMAS E Donovan","","5 Benjamin Nye Circle","","POCASSET","MA","02559-4920",""
"2372","Star Engineering, Inc. ","","MICHAEL J COLEMAN","","1 Vaillancourt Dr ","","North Attleboro","MA","02763-1054","We are electronic manufacture, cable assembly, printed circuit board assembly,and intergrated electronics assembly."
"2373","INNOVATIVE IDEAS UNLIMITED, INC","","DANIEL Lieber","President","1 ELM ST","","WAKEFIELD","MA","01880-1512","IIUI is a leader in hi-tech education, consulting, and products with IBM/Lotus Software. It has commerically available compliant (including DoD 5015.2) systems for document management and records management."
"2374","Northern Parklife inc ","","Gunnar  Bohlin","","301 edgewater plce ste100 ","","wakefield","MA","01880-1293",""
"2375","Eastern General Contractors, Inc","","Nikki Emond","Government Projects Administrator","52 Berkshire Ave Ste 60","","Springfield","MA","01109-1708","General Contractor & Construction Manager specializing in U.S. Government contracts, DoD Projects, Multi-Family Housing Projects, and Public Safety Projects."
"2376","Iuvo Technologies, Inc.","","Jeff Ouellette","","238 LITTLETON RD STE 200","","WESTFORD","MA","01886-3531",""
"2377","Coast Maintenance Supply Co., Inc.","","Terry Hanson","","147 Summit St Ste 14","","Peabody","MA","01960-5183",""
"2378","Flightlevel Norwood, LLC","","Warren M DeLaria","","125 Access Rd","","Norwood","MA","02062-5239",""
"2379","Jf Griffin Publishing Llc","","Jeremy  Garnish","","148 MAIN ST","","WILLIAMSTOWN","MA","01267-2604","JF Griffin Publishing LLC is the leader in state hunting and fishing regulation guides, J.F. Griffin reaches over 15 Million sportsmen and women in the U.S. With JF Griffin Publishing LLC, be seen by more active sportsmen, both in print, and online. The annual printed guides are provided with a license purchase and are kept year-round in sportsmen's homes, trucks, boats and camps. The accompanying websites are the premiere location for online regulations content, are always up to date, and average almost 2 million page views every month. Visit our website at http://www.jfgriffin.com."
"2380","Walter De Gruyter Inc.","Birkhauser","Lindsey Griffith","","121 High St 3rd Fl","","Boston","MA","02110-2475",""
"2381","Baystate Sweeping & Construction","","ANTHONY ALBANO","","369 3rd St","","Everett","MA","02149-4716",""
"2382","Sathguru Inc.","","Venu Gopal Chintada","","25 Newport Ave Ext Suite # 1","","Quincy","MA","02171-1748",""
"2383","Pepperdash Technology Corporation","","HOWARD A Nunes","","27 Congress St., Suite 104","","Salem","MA","01970-7309",""
"2384","Trilogic Systems Corporation","TriLogic Systems","David  Paul","","126 Main St Unit 2","","Gloucester","MA","01930-5746",""
"2385","Electronic Fluorocarbons, LLC","","Greg Lewis","","239 South St","","Hopkinton","MA","01748-2249",""
"2386","Schneeberger, Inc. ","","Robert Mercer","","44 Sixth Rd STE 3 ","","Woburn","MA","01801-1759",""
"2387","Keystone Dental, Inc.","","Jason L Hyland","","154 Middlesex Turnpike","","Burlington","MA","01803-4403",""
"2388","G&F Precision Molding, Inc.","","Patricia Broskey","","709 Main St","","Fiskdale","MA","01518-0000",""
"2389","Concerted Efforts Inc ","","R. Christopher Colbourn","","363 HIGHLAND AVE STE 1 ","","SOMERVILLE","MA","02144-2574",""
"2390","Reep-ofc One Bowdoin Square Ma LLC","","Dennis  Morris","","15 New Chardon St","","Boston","MA","02114-4711",""
"2391","SAFETYNET TRACKING SYSTEMS, INC.","","Scott Martin","","110 K St Ste 330","","Boston","MA","02127-1619",""
"2392","Boston Services LLC","Boston Services","Boppanda B Ganapathy","","102 Muller Rd","","Burlington","MA","01803-5167",""
"2393","Todd Tool & Abrasive Systems, Inc.","","Michael T Smith","","56 Turnpike Rd","","Ipswich","MA","01938-1050","Our commitment and goal to our customers is one of quality, service, technical assistance, and improved profitability.The quality system established at Todd Tool has been specifically designed to meet the requirements of ISO 9002 Quality System Standard. Todd Tool will provide its customers with products of the highest quality through careful selection, planning, and partnering with its manufacturers. We will continue to strive to provide innovative products and services to the industry. Todd Tool is committed to the principles of customer driven service, product quality, on time delivery. Todd Tool is committed to immediate serviceability. It is our philosophy to provide levels of service which will not only improve our customers' efficiency, but also reduce their costs. In addition to the specialists we have on our staff, the relationships we have with our manufacturers allows for immediate access to a huge universe of technical assistance."
"2394","GEOCOMP CORP.","","Gary T. Torosian","","125 NAGOG PARK STE 105","","ACTON","MA","01720-3451",""
"2395","Boston Bioproducts Inc.","","NEIL SHARMA","","159 Chestnut St","","Ashland","MA","01721-1850","Boston BioProducts was founded in 1995 by a group of research scientists from Harvard Medical School. We are a Massachusetts based corporation providing high quality bio reagents, chemicals and buffers at competitive prices to research labs in hospitals, Universities, and Biotech firms. We specialize in Protein Research, Molecular Biology, Immunology, and Custom Formulations made to your specifications. Our aim is to increase the productivity of our customers by providing them with the highest quality products at a competitive price."
"2396","BRIGADE LLC","","Kirsten J Modestow","","195 Russell St Ste A1","","HADLEY","MA","01035-9530",""
"2397","National Law Medicine & Psychiatry Consultants Inc. ","Psychiatry Medicine ","HAROLD J BURSZTAJN","","96 Larchwood Dr ","","Cambridge","MA","02138-4639",""
"2398","CH LH CrossPoint Owner LLC","","Nicole Townsend","","1 Boston Pl Ste 2310","","Boston","MA","02108-4407",""
"2399","Vaxess Technologies Inc","Vaxess Technologies","livio valenti","","790 MEMORIAL DR STE 200","","CAMBRIDGE","MA","02139-4649",""
"2400","Dowling Corporation","","Stephen Dowling","Operations Manager","713 Dedham St","","Wrentham","MA","02093-1103","environmental remediation, site clearing, drainage, sewer & utility work, demolition & site restoration, excavation, waste disposal, on-site water treatment."
"2401","ANDERSON AIRMOTIVE PRODUCTS COMPANY, INC","","RON  Steger","President","994 JEFFERSON ST STE 10","","FALL RIVER","MA","02721-4823","Ground power connectors, cable assemblies,receptacles, battery connectors"
"2402","CLAREMONT BRIDGEWATER INN LLC","","William Robinson","","2020 PLEASANT ST","","BRIDGEWATER","MA","02324-1041",""
"2403","Infraredx, Inc.","","Paul McDermott","","34 3rd Ave","","Burlington","MA","01803-4414","Provides combined IVUS and NIR catheter for coronary vascular imaging"
"2404","Nature Springs Water Co Inc ","","Dan  Roma","","55 Franklin St ","","Needham","MA","02494-2907",""
"2405","American Entertainment International Inc","AEI Speakers Bureau","MARK  CASTEL","","300 WESTERN AVE STE 2","","ALLSTON","MA","02134-1017",""
"2406","Omixon, Inc.","","George Kaplan","","One Broadway","","Cambridge","MA","02142-1100",""
"2407","Foresight Imaging, LLC ","TIMS Medical ","ANTHONY  MOLINARI","","1 Executive Drive Suite 202 ","","Chelmsford","MA","01824-2564",""
"2408","National Security Innovations, Inc.","","Bryan Rasmussen","","100 Cambridge St, Suite 1400","","Boston","MA","02114-2545",""
"2409","Brookline Ice Company, Inc. ","","Lisa  Troiano","","610 Brookline Ave ","","Brookline","MA","02445-7211",""
"2410","SHEA CONCRETE PRODUCTS, INC.","","GREGORY STRATIS","","773 SALEM ST","","WILMINGTON","MA","01887-1222","Manufacturer of Precast Concrete Products, including: Manholes, box culvert, precast concrete buildings, septic tanks, cisterns, precast stairs, stormwater, utility products, vaults, pump stations, retaining walls, etc..."
"2411","J J J MICROSYSTEMS","","JUDY  HOU","President","94 SHERWOOD DRIVE","","NORTH ANDOVER","MA","01845-3247","Architect, design and develop web applications, client/server systems; Legacy systems integration and web enable; Data conversion, migration and integration; Database administration; IT infrastructure, Network administration, General IT support services."
"2412","WORLDTECH ENGINEERING, LLC","","Richard J Benevento","","300 TRADE CENTER STE 5580","","WOBURN","MA","01801-7432","WorldTech Engineering specializes in civil, highway and traffic, structural engineering, and transportation planning. We deliver high quality multi-disciplinary services through a diversity of municipal, facility, and government contracts."
"2413","AUTOGEN INC","","Michael  R Messier","","84 OCTOBER HILL RD STE 5","","HOLLISTON","MA","01746-1371",""
"2414","MECHO CONTRACTING INC","","TONY  POLANCO","","225 BROADWAY STE 208","","METHUEN","MA","01844-4322",""
"2415","NORTHERN TREE SERVICE, INC.","","PHILIP  CAMBO","","1290 PARK ST","","PALMER","MA","01069-1691",""
"2416","S & S Machine Company, Inc.","","Robert M.  Smith","","65 Commerce Way","","Marshfield","MA","02050-2755","Precision Job Shop, CNC Turning & Milling"
"2417","EAGLE ELEVATOR COMPANY, INC.","","MARISOL  RODRIGUEZ","","176 NORFOLK AVE","","ROXBURY","MA","02119-3024",""
"2418","ELEMENTAL MACHINES INC","","Fani Isaac","","186 ALEWIFE BROOK PARKWAY STE 303","","CAMBRIDGE","MA","02138-1134",""
"2419","Lighthouse Placement Services, Inc.","","Josh Iadarola","Managing Partner","1600 Osgood St Ste 2082","","North Andover","MA","01845-1063","Lighthouse Placement Services, LLC a woman-owned, full service technical staffing firm. With over 27 years of combined experience in the technical placement arena."
"2420","Brownmed, Inc.","Brown Med","Cindy Chadwick","","101 FEDERAL ST FL 29","","BOSTON","MA","02110-1873",""
"2421","Wolfe Laboratories, LLC","","Joyce Mbaka","","19 Presidential Way Ste 102","","Woburn","MA","01801-1185",""
"2422","CGL Electronic Security, Inc.","","Jim Gallagher","","35 Southwest Park","","Westwood","MA","02090-1524",""
"2423","Redpoint Global Inc. ","","David Porrell","","36 Washington St Ste 20 ","","WELLESLEY","MA","02481-1907",""
"2424","Meketa Investment Group, Inc.","","Lisa Rubin","","100 LOWDER BROOK DR STE 1100","","WESTWOOD","MA","02090-1150",""
"2425","Magnetic Technologies, Ltd ","","Howard Schwerdlin","","43 Town Forest Rd ","","Oxford","MA","01540-2845","design and build magnetic mechanical power transmission assemblies such as brakes, clutches, and couplings"
"2426","MIDDLESEX GASES & TECHNOLOGIES, INC.","","RONALD J PERRY","SLS MGR","292 2ND ST","","EVERETT","MA","02149-4739","INDUSTRIAL GASES, RARE GASES, CRYOGENIC LIQUIDS, WELDING SUPPLIES, METAL WORKING EQUIPMENT AND SUPPLIES, SAFETY SUPPLIES."
"2427","Mauna Kea Technologies, Inc.","","Daryl Donatelli","","24 Denby Rd Ste 140","","Allston","MA","02134-1606",""
"2428","AEROVOX CORP.","","Tim Flaherty","","167 JOHN VERTENTE BLVD","","NEW BEDFORD","MA","02745-1221","Manufacturer of film capacitors for use in motor run, lighting, snubber, alternative energy, dc link, power factor correction, pulse power applications. Manufacturing products in New Bedford, MA."
"2429","Bgi Americas Corporation ","","Charles Bao","","One Broadway 3rd Fl ","","Cambridge","MA","02142-1190",""
"2430","Odic, Inc","","Matthew Hickcox","President","295 Foster Street, Suite 202","","Littleton","MA","01460-2022","electronic design, hardware, firmware, software, embedded applications, diagnostics, functional test, network appliances; consumer, medical, and networking industries; wearable life sign detection electronics; wearable battery-powered electronics"
"2431","Adder Corporation","","Tom Nielsen","","24 Graf Road","","NEWBURYPORT","MA","01950-4015",""
"2432","Clearedge Partners, Inc.","","John Gill","","254 2ND AVE # 140","","NEEDHAM HEIGHTS","MA","02494-2829",""
"2433","Edgetech Instruments Inc.","","John Allcott","","399 RIVER RD","","HUDSON","MA","01749-2627","design and manufacture of instrumentation for the detection and measurement of moisture, humidity, pressure, temperature, Calibration services"
"2434","Lemelin Environmental Services, Inc. ","","Cheryl Lemelin-Hickman","","70 N Chicopee St ","","Chicopee","MA","01020-2217",""
"2435","Priority 5 Holdings, Inc","","GINNY  Friedman","","75 Second Ave Ste 411","","Needham","MA","02494-2856","Software for Situational Awareness, Decision Support, Command and Control, Emergency Management and Response"
"2436","IDEAL INSTRUMENT CO, INC","","RENATO PERFETTI J. Perfetti","PRESIDENT","863 WASHINGTON ST","","CANTON","MA","02021-2513","SPECIALISTS / MACHINING & GRINDING / RF LOAD, DIELECTRIC, SYNTACTIC FOAM MATERIALS. ** ALTERNATE PHONE (617) 828-0038 **"
"2437","FERRO-CERAMIC GRINDING, INC.","","KEITH COSTELLO","","5 CORNELL PL","","WILMINGTON","MA","01887-2129","ceramic component manufacturer"
"2438","Beaver-Visitec International, Inc.","","Justin MacMillan","","500 Totten Pond Rd Ste 10","","Waltham","MA","02451-1916",""
"2439","WS NV One Andover Tech, LLC","","Jackie Eamer","","120 Water St 3rd Flr","","Boston","MA","02109-4210",""
"2440","W L Collins Corporation ","Collins Surgical ","Mike  Braz","","165 Westgate Dr Ste 1 ","","Brockton","MA","02301-1821",""
"2441","South Coast Orthopedic Technology LLC ","","RANDY   PENNEY","","535 Faunce Corner Rd ","","Dartmouth","MA","02747-1242",""
"2442","American Integrated Medical Marketing Inc","","Wayne R Knupp","","521 ELM ST","","KINGSTON","MA","02364-1841",""
"2443","M&M SERVICES, LLC ","","Rebekah  Marshall","","34 Haynes Rd ","","Townsend","MA","01469-1130",""
"2444","NORTHEAST LOGISTICS SYSTEMS, LLC, THE","","Richard E Flynn","","2 Central St Ste 107","","FRAMINGHAM","MA","01701-4186","NorthEast Logistics Systems, LLC (NELS) is a management consulting group with a specialization in transportation security, risk management, planning, GIS and GPS data services, analysis and decision support systems."
"2445","SALEM INFORMATION SERVICES, LTD.","Techevolution","Corey Tapper","","85 Exchange St Ste L12","","Lynn","MA","01901-1429","Our custom service packages deliver what you need and want without overstepping the boundaries of your budget. From cloud services to data backup, we’re here to team up with you and your company for expert support. If you are looking for reliable and responsive IT support services, Techevolution can help you today!"
"2446","HAMPDEN ENGINEERING CORPORATION","","Michael J Flynn","PRESIDENT","99 SHAKER RD","","EAST LONGMEADOW","MA","01028-2762","MANUFACTURE TRAINING EQUIPMENT FOR USE IN INDUSTRY,EDUCATION,MILITARY & GOVERNMENT FACILITIES MECHANICAL, CHEMICAL, CIVIL ENVIROMENTAL ENGR ELECTRICAL ELECTRONIC HVAC I&C POWER SYSTEMS"
"2447","HIPSAVER INC","","Eric Zimmerman","","7 HUBBARD ST","","CANTON","MA","02021-1113",""
"2448","NORTH RIVER AIR LLC","","William Fitzgibbons","","265 PLEASANT ST","","ROCKLAND","MA","02370-1280",""
"2449","MILLRITE MACHINE INC.","","ROBERT  F VALCOURT","","587 SOUTHAMPTON RD","","WESTFIELD","MA","01085-1329",""
"2450","ASSOCIATED X-RAY IMAGING CORP.","","Maryann Legare","","49 NEWARK ST","","HAVERHILL","MA","01832-1317",""
"2451","ORTHOTIC AND PROSTHETIC CENTERS, LLC, The","","Shanon M McNally","","126 MID TECH DR # B","","WEST YARMOUTH","MA","02673-2560","We sell, repair and adjust orthotics and prosthetics."
"2452","Calyptus Consulting Group, Inc.","","GEORGE  HARRIS","President","43 Thorndike Street Suite S-2-4","","CAMBRIDGE","MA","02141-1764",""
"2453","EUSA Pharma (US) LLC","","Jeff Hackman","","15 WAYSIDE RD STE 2","","Burlington","MA","01803-4622",""
"2454","SCHWARTZ/SILVER ARCHITECTS","","Peter Kleiner","","75 KNEELAND ST STE 1","","BOSTON","MA","02111-1901","full service architecture firm, design through construction administration"
"2455","LUSTER-ON PRODUCTS, INC.","","Alexander Price","PRESIDENT","54 WALTHAM AVE","","SPRINGFIELD","MA","01109-3335","SPECIALTY CHEMICALS FOR METAL FINISHING AND ELECTROPLATING, EQUIPMENT FOR METAL FINISHING AND ELECTROPLATING."
"2456","Dfr Apparel Co., Inc.","DFR Enterprises","RICK  ARAMONY","","100 Grove Street, Ste 312","","WORCESTER","MA","01605-2630",""
"2457","BioBright, LLC","BioBright","Charles Fracchia","","2 Park Plz Ste 605","","Boston","MA","02116-3932",""
"2458","BOXBORO SYSTEMS LLC","","DAN HANDMAN","President","369 SARGENT RD","","BOXBOROUGH","MA","01719-1203","Deflection and twist measurement systems for test and measurement applcations including flight test, wind turbine blades, sailboat masts, buildings, bridges, machinery, structures, and other applications"
"2459","MEGATECH CORPORATION","","Hayley Wood","","525 WOBURN ST STE 3","","TEWKSBURY","MA","01876-3436",""
"2460","W.S. Anderson Inc.","","Warren Anderson","Owner","617 Ctr St","","Brockton","MA","02302-0000","Electrical services, repair, installation, maintenance,Fire alarm, Voice/Data and General Contracting."
"2461","Aulson Co., Inc., The","","ALAN  P AULSON, SR.","","49 Danton Dr","","Methuen","MA","01844-1513","Turnkey industrial and environmental specialty contracting services for commercial, industrial, residential, military and public agencies. High angle work, confined spaces, steel structures, other complex and sensitive sites, environmental issues."
"2462","Donlon Coatings, Inc.","","James P Donlon","","175 J New Boston St","","Woburn","MA","01801-6203",""
"2463","JAYA LODGING, LLC","","Susan Daley","","572 RIVERDALE ST","","WEST SPRINGFIELD","MA","01089-4610",""
"2464","QUALITY ENGINEERING ASSOCIATES, INC.","Q E A","ANANNA  TSE","","755 MIDDLESEX TPKE # 3","","BILLERICA","MA","01821-3927",""
"2465","C & C Ventures, LLC","Randolph Products Company","NORRIS R WILLIAMSON","Marketing Manager","33 Haynes Cir","","Chicopee","MA","01020-3712","Military Specification Coatings, Industrial Finishes, Aircraft Coatings, Paints, Urethanes, Epoxies, Enamels, Adhesives, Thinners"
"2466","Triad Consulting Group, Inc.","","Sheila Heen","","20 Holland St, Suite 407","","SOMERVILLE","MA","02144-2749","Triad offers corporate education, consulting, mediation services, and executive coaching in Negotiation, Difficult Conversations, Influence, and Communication."
"2467","Adjoint Inc.","","Katherine Hochrein","","120 Saint James Ave Fl 6","","Boston","MA","02116-5001",""
